candidate,source_location,I,J,K1,K2,interval_oil_pv_proxy,weighted_SOIL,weighted_pressure,weighted_delta_SWAT,median_PERMX
Candidate_A,ALT_70_21,70,21,1,4,5084.644944917976,0.8312938523700404,340.35458546535875,0.02289590790713017,4664.609619140625
Candidate_B,ALT_66_32,66,32,59,63,2109.0168332348803,0.3070660108623306,372.6620533698987,0.46665608720374313,135.9074249267578
Candidate_C,ALT_46_27,46,27,59,63,1472.3729008977389,0.818245007876401,358.2292638016371,-0.00020547384242026467,341.7865905761719
