candidate,nearest_existing_well,nearest_completion_distance_IJ_cells,I,J,K,X,Y,Depth,PORO,PORV,NTG,PERMX,PERMY,PERMZ,SATNUM,PRESSURE_initial,PRESSURE_final,DELTA_PRESSURE,SWAT_initial,SWAT_final,DELTA_SWAT,SGAS_initial,SGAS_final,SOIL_initial,SOIL_final,OIL_PV_PROXY
C_64_40,P-F-11B,2.83,64,40,1,435312.72391047573,6478442.164354886,2879.36962890625,0.13866449892520905,167.329345703125,1.0,543.070556640625,543.070556640625,162.92117309570312,1.0,324.46356201171875,336.0163269042969,11.552764892578125,0.22431392967700958,0.22408238053321838,-0.00023154914379119873,0.0,0.0,0.7756860703229904,0.7759176194667816,129.8337875849029
C_64_40,P-F-11B,2.83,64,40,2,435312.7718139349,6478442.138579059,2879.915252685547,0.19810661673545837,239.02955627441406,1.0,1005.8665771484375,1005.8665771484375,301.7599792480469,1.0,324.5004577636719,336.054931640625,11.554473876953125,0.20075774192810059,0.20138101279735565,0.0006232708692550659,0.0,0.0,0.7992422580718994,0.7986189872026443,190.89354214337004
C_64_40,P-F-11B,2.83,64,40,3,435312.8197179261,6478442.112802843,2880.460906982422,0.2347826361656189,283.5063171386719,1.0,2418.012939453125,2418.012939453125,725.4039306640625,1.0,324.5379943847656,336.0950622558594,11.55706787109375,0.16723692417144775,0.2628287672996521,0.09559184312820435,0.0,0.0,0.8327630758285522,0.7371712327003479,208.99270128345051
C_64_40,P-F-11B,2.83,64,40,4,435312.8676200494,6478442.087029544,2881.006561279297,0.2364926040172577,285.53643798828125,1.0,1592.3675537109375,1592.3675537109375,477.7102966308594,1.0,324.5758361816406,336.1490783691406,11.5732421875,0.18320147693157196,0.4855540096759796,0.30235253274440765,0.0,0.0,0.816798523068428,0.5144459903240204,146.89307561447458
C_64_40,P-F-11B,2.83,64,40,5,435312.9155113008,6478442.061261662,2881.552032470703,0.24198512732982635,292.26324462890625,1.0,2457.660888671875,2457.660888671875,737.2982788085938,1.0,324.6137390136719,336.20684814453125,11.593109130859375,0.1666153520345688,0.5556781888008118,0.389062836766243,0.0,0.0,0.8333846479654312,0.44432181119918823,129.85893420046705
C_64_40,P-F-11B,2.83,64,40,6,435312.9877785377,6478442.023004154,2882.3775024414062,0.24100884795188904,590.4290161132812,1.0,5286.298828125,5286.298828125,2000.0,1.0,324.6689453125,336.2953796386719,11.626434326171875,0.13734394311904907,0.6242058277130127,0.4868618845939636,0.0,0.0,0.8626560568809509,0.3757941722869873,221.87978340451082
C_64_40,P-F-11B,2.83,64,40,7,435313.084435493,6478441.972248467,2883.483123779297,0.26577964425086975,651.7083129882812,1.0,4677.5693359375,4677.5693359375,935.5138549804688,1.0,324.74517822265625,336.41229248046875,11.6671142578125,0.14201951026916504,0.7312314510345459,0.5892119407653809,0.0,0.0,0.857980489730835,0.2687685489654541,175.15869763058436
C_64_40,P-F-11B,2.83,64,40,8,435313.1811000744,6478441.921489751,2884.5887451171875,0.24366465210914612,597.7583618164062,1.0,3798.161376953125,3798.161376953125,759.6322631835938,1.0,324.8214416503906,336.5305480957031,11.7091064453125,0.14997881650924683,0.7565811276435852,0.6066023111343384,0.0,0.0,0.8500211834907532,0.2434188723564148,145.5056663749674
C_64_40,P-F-11B,2.83,64,40,9,435313.2777611187,6478441.8707350725,2885.694366455078,0.24140819907188416,592.7652587890625,1.0,2777.911865234375,2777.911865234375,555.5823974609375,1.0,324.897705078125,336.6473693847656,11.749664306640625,0.16193407773971558,0.7874438762664795,0.6255097985267639,0.0,0.0,0.8380659222602844,0.2125561237335205,125.99588569210027
C_64_40,P-F-11B,2.83,64,40,10,435313.37444611616,6478441.819967762,2886.800262451172,0.20677703619003296,508.1940612792969,1.0,1125.2431640625,1125.2431640625,225.0486297607422,1.0,324.9739990234375,336.7623596191406,11.788360595703125,0.19647160172462463,0.8065873384475708,0.6101157367229462,0.0,0.0,0.8035283982753754,0.1934126615524292,98.29116597716711
