candidate,forecast_oil_sm3,forecast_water_sm3,water_oil_ratio,peak_wopr_sm3_day,final_wopr_sm3_day,first_active_water_cut_pct,maximum_water_cut_pct,final_water_cut_pct,final_fpr_bara,bhp_control_bara,recommendation
A,79467.0,220106.0,2.7697786502573396,240.61032104492188,5.9757466316223145,75.32311677932739,87.86551356315613,11.993694305419922,305.4888610839844,300.0,Preferred technical candidate; carry forward for further evaluation
B,3503.0,365348.0,104.29574650299743,6.032452583312988,0.0943099781870842,98.92856478691101,99.70922470092773,99.70922470092773,300.6517639160156,300.0,Reject under current screening assumptions; strongly water dominated
C,55746.0,188454.0,3.3805833602410935,110.596923828125,10.874906539916992,45.706748962402344,86.94617748260498,79.19754385948181,313.8175048828125,300.0,Secondary technical opportunity
