Model,Stations,Gradient bar/m,Gradient 95% CI Low bar/m,Gradient 95% CI High bar/m,Gradient bar/100m,Gradient psi/ft,Hydrostatic Equivalent Density kg/m3,Intercept bar,R2,p-value,Slope Std Error bar/m,Residual RMSE bar
OLS - all stations,14,0.07036918691879282,0.06596615845371356,0.07477221538387208,7.036918691879282,0.3110846009631597,717.5660079516739,84.7626209159722,0.9902005325633862,2.0061285194470187e-13,0.002020838323115364,0.48752324615405696
OLS - vendor-qualified stations,13,0.07050146432595647,0.06581952756203989,0.07518340108987305,7.050146432595647,0.311669366344511,718.9148621186284,84.38754670459932,0.9900851575205436,2.2531420718711823e-12,0.0021272005140371476,0.5027542149503179
Theil-Sen robust - all stations,14,0.07012103487064124,0.06558395836522297,0.07586963190184033,7.012103487064124,0.3099875827331991,715.0355612838355,85.25065480764886,0.9877261213968414,,,0.5456133692004618
