VECTOR,MAE,RMSE,NMAE_PERCENT,NRMSE_PERCENT,ACTIVE_MAPE_PERCENT
FOPR,82.51370094395278,175.3455040880843,0.9075495063616029,1.928585481651819,3.885550960619461
FWPR,108.1329170126442,167.8694452399639,1.1859615545089697,1.8411295443742293,2.9481151461395148
FGPR,12218.053926548668,25564.585865572324,0.9096892877961475,1.9033988594798428,4.0807455916908015
FWIR,0.0001700589970627935,0.00042272434311862653,1.0165429385032816e-06,2.526872752119119e-06,1.7154699152684228e-06
FOPT,35816.60130884955,47984.83309900339,0.3588543315819028,0.4807704968800996,0.5207391090963391
FWPT,51741.368648367534,67177.85451525013,0.33287044495101215,0.43217879440557067,1.4191268102626795
FGPT,5140021.498525074,6680000.751737763,0.35596234176043,0.46261065468934776,0.5021915437686186
FPR,1.3698967817109136,1.6990176884028765,0.3830318803869947,0.4750561857565201,0.402152788830938
