VARIABLE,WELL,MAE,RMSE,NRMSE_PERCENT
WBHP,P-F-14,5.10121194100295,6.892416749192194,2.1688865568764744
WBHP,P-F-12,3.6108930442477885,6.3589239304815806,1.8633804372713123
WBHP,P-F-11B,3.054513168141593,5.373167743796803,1.8493041819759566
WBHP,P-F-15D,2.5916547433628327,5.794265624419736,1.6934175081323966
WWCT,P-F-14,0.0165360247190882,0.021802578701711445,2.3531991617906725
WWCT,P-F-12,0.01925146473223038,0.07281064514838582,7.62757672138454
WWCT,P-F-11B,0.013938059912949852,0.029598663909656712,3.810446776843102
WWCT,P-F-15D,0.028943306623384953,0.07153595211478848,8.41267816789007
