CASE,TIME,FOPT,FWPT,FGPT,FPR,FOPR,FWPR,WOPR:P-F-12,WWCT:P-F-12,WBHP:P-F-12,WOPT:P-F-12,WWPT:P-F-12
BASE,11.0,0.0,0.0,0.0,329.595032,0.0,0.0,-0.0,0.0,312.160187,0.0,0.0
BASE,21.0,0.0,0.0,0.0,329.598816,0.0,0.0,-0.0,0.0,312.178894,0.0,0.0
BASE,31.0,0.0,0.0,0.0,329.60318,0.0,0.0,-0.0,0.0,312.191772,0.0,0.0
BASE,41.0,0.0,0.0,0.0,329.607819,0.0,0.0,-0.0,0.0,312.201996,0.0,0.0
BASE,51.0,19273.5781,0.0568724312,3054185.0,325.217133,1927.35779,0.00568724331,1927.35779,2.95078917e-06,301.32547,19273.5781,0.0568724312
BASE,57.0,30848.1328,0.100111127,4883408.0,322.648651,1929.09241,0.00720644882,1929.09241,3.73565399e-06,298.45163,30848.1328,0.100111127
BASE,61.0,42042.5625,0.156185836,6648919.0,320.186523,2798.60791,0.0140186762,2798.60791,5.00913529e-06,293.557434,42042.5625,0.156185836
BASE,71.0,70449.1953,0.345660806,11110404.0,314.249023,2840.66284,0.0189474989,2840.66284,6.67005315e-06,287.222321,70449.1953,0.345660806
BASE,81.0,100251.648,0.593691707,15773584.0,308.301514,2980.24512,0.0248030908,2980.24512,8.32243131e-06,280.821808,100251.648,0.593691707
BASE,91.0,120902.961,0.77165705,18997338.0,304.597687,2065.13135,0.0177965295,2065.13135,8.61755143e-06,279.61377,120902.961,0.77165705
BASE,101.0,150215.391,1.08103573,23559900.0,299.11554,2931.24268,0.0309378728,2931.24268,1.05544132e-05,271.869751,150215.391,1.08103573
BASE,111.0,172372.297,1.32478857,27002018.0,295.295929,2215.69067,0.0243752841,2215.69067,1.10010915e-05,269.974213,172372.297,1.32478857
BASE,121.0,194730.781,1.56971717,30468152.0,294.740295,2235.84888,0.0244928598,2235.84888,1.09544935e-05,269.890778,194730.781,1.56971717
BASE,131.0,226211.141,1.8978368,35336448.0,298.771851,3149.18188,0.0317264833,3149.18188,1.00744146e-05,272.995209,226211.141,1.8978368
BASE,141.0,268792.781,2.32997394,41893048.0,300.658905,4258.16406,0.0432137176,4258.16406,1.01483365e-05,272.471161,268792.781,2.32997394
BASE,151.0,318915.656,2.85798717,49586088.0,301.028717,5012.28662,0.0528013147,5012.28662,1.05342651e-05,270.821625,318915.656,2.85798717
BASE,161.0,357081.656,3.23254895,55432304.0,300.950165,3816.60107,0.0374561958,3816.60107,9.81392259e-06,273.669495,357081.656,3.23254895
BASE,166.0,381924.375,3.49785376,59233620.0,300.481415,4968.54199,0.0530609526,4968.54199,1.06792668e-05,270.10321,381924.375,3.49785376
BASE,171.0,406777.094,3.76754594,63032868.0,300.014099,4970.54492,0.0539384335,4970.54492,1.0851496e-05,269.380188,406777.094,3.76754594
BASE,181.0,456115.594,4.28631783,70562712.0,300.790588,4933.84814,0.0518771969,4933.84814,1.051444e-05,270.432404,456115.594,4.28631783
BASE,191.0,504994.219,4.76229286,78011696.0,302.816406,4887.86426,0.0475974903,4887.86426,9.73779606e-06,273.03775,504994.219,4.76229286
BASE,192.0,509883.5,4.80796528,78766264.0,302.377594,4889.27295,0.0456722714,3540.27979,9.06955484e-06,275.767914,508534.5,4.79440212
BASE,201.0,553879.688,5.26104212,85558296.0,298.520782,4888.31152,0.0516420156,3541.48877,1.02781987e-05,271.047791,540405.75,5.11341953
BASE,211.0,611749.812,5.86211634,94576792.0,299.206909,5787.00928,0.0601074547,3127.59766,9.65067557e-06,273.279388,571681.688,5.41525698
BASE,221.0,660668.938,6.34492493,102217944.0,299.518433,4891.91846,0.048280824,2377.78003,8.944201e-06,275.774139,595459.5,5.62793207
BASE,231.0,735863.25,7.23496103,113908232.0,294.908905,7519.42578,0.0890036374,4137.87061,1.13516908e-05,266.051697,636838.188,6.09765577
BASE,241.0,781882.375,7.7116375,120990208.0,296.889313,4601.91602,0.0476676188,3211.92017,1.00709285e-05,270.727051,668957.438,6.42112923
BASE,251.0,802433.125,7.89188385,124180600.0,300.061615,2055.07153,0.018024629,1034.28711,7.72027215e-06,279.542175,679300.25,6.5009799
BASE,261.0,865867.625,8.66686344,134061000.0,292.109375,6343.4541,0.0774980187,2737.26685,1.11996378e-05,265.874115,706672.938,6.80754709
BASE,271.0,945212.062,9.91809654,146151904.0,282.897888,7934.44141,0.125123233,3193.25708,1.39547901e-05,254.915665,738605.5,7.25316572
BASE,281.0,1024136.0,11.2326527,158106336.0,280.380463,7892.39258,0.131455615,3146.29175,1.43912412e-05,253.063278,770068.438,7.70596266
BASE,291.0,1092084.75,12.3203564,168421888.0,280.687836,6794.15771,0.107861735,2721.7085,1.37723428e-05,255.277756,797278.0,8.08309555
BASE,301.0,1166351.38,13.4411688,179752672.0,283.845062,7426.66309,0.112081267,3040.56079,1.32107825e-05,257.093414,827683.625,8.48478222
BASE,311.0,1247919.25,14.6386948,192190176.0,285.015656,8156.79102,0.119752571,3904.0166,1.34244438e-05,255.758942,866723.75,9.00888252
BASE,321.0,1331225.75,15.7849064,204874992.0,287.707336,8330.64746,0.114621207,5019.58154,1.33684398e-05,255.368744,916919.562,9.67993069
BASE,331.0,1414019.12,16.8597775,217485344.0,289.68869,8279.34668,0.107487038,4934.5332,1.26709238e-05,257.704926,966264.938,10.3051901
BASE,341.0,1495658.75,17.7560921,229929056.0,296.808533,8163.96143,0.0896314383,4916.94531,1.07327642e-05,264.561096,1015434.38,10.8329191
BASE,351.0,1583016.75,18.6341171,243182992.0,301.715576,8743.87305,0.0853337273,5193.99072,9.48260185e-06,268.569,1067368.5,11.3415985
BASE,354.0,1609626.88,18.8841782,247200896.0,303.334015,8870.06445,0.0833536312,5414.73779,9.16340559e-06,269.523712,1083612.75,11.4904528
BASE,355.0,1618499.12,18.9662971,248539904.0,303.873322,8872.14941,0.0821189284,5414.90332,9.02051033e-06,270.018372,1089027.62,11.5392981
BASE,361.0,1671771.0,19.4249878,256566640.0,307.084259,8881.36816,0.0745599568,5414.9209,8.14246141e-06,273.101685,1121517.12,11.8110018
BASE,371.0,1759649.88,20.083931,269749984.0,311.546722,8791.11621,0.063305907,5519.8999,6.98110171e-06,277.01413,1176718.5,12.2129622
BASE,381.0,1846593.38,20.6027012,282745632.0,316.167542,8694.34277,0.0518770702,5432.03906,5.69960321e-06,281.643951,1231038.88,12.5225687
BASE,391.0,1933811.75,21.01437,295788800.0,321.576019,8721.84473,0.0411669165,4320.6167,3.92422544e-06,289.930481,1274245.0,12.6921196
BASE,401.0,2016600.0,21.341814,308116288.0,324.542694,8278.82422,0.0327443667,4610.09912,3.46762249e-06,292.105896,1320346.0,12.8519812
BASE,411.0,2097770.0,21.6070862,320177152.0,328.378632,8117.00635,0.0265272316,4223.22217,2.7163544e-06,296.818207,1362578.25,12.9666996
BASE,421.0,2182980.5,21.8299961,332801920.0,333.830872,8521.03125,0.0222909283,4249.78613,2.00313684e-06,301.76947,1405076.12,13.0518284
BASE,429.0,2248697.25,21.9727345,342510848.0,337.985229,8214.59473,0.01784252,4161.79492,1.76243816e-06,305.971832,1438370.5,13.110508
BASE,431.0,2265131.5,22.0078259,344937536.0,339.025391,8217.18262,0.0175454393,4162.56445,1.78296682e-06,306.953949,1446695.62,13.125351
BASE,441.0,2330326.0,2491.68018,354526720.0,329.052002,6516.8623,245.33107,3455.75464,4.42748387e-06,298.075775,1481258.5,13.2492409
BASE,451.0,2402826.75,2492.49048,365369632.0,310.731354,7250.06934,0.0810190737,3096.58691,1.0935697e-05,280.858673,1512224.38,13.5878782
BASE,461.0,2446747.5,2493.05103,371890816.0,308.960815,4392.08887,0.0560608394,2453.90723,1.34670972e-05,280.803314,1536763.5,13.9183531
BASE,471.0,2517109.75,2494.92334,382342752.0,299.438965,7036.20801,0.187238812,5194.28223,3.05269532e-05,263.141968,1588706.38,15.5040569
BASE,481.0,2592215.0,2498.36108,393482656.0,292.243713,7510.54248,0.343765646,4815.29248,5.9087095e-05,256.453766,1636859.25,18.3494415
BASE,491.0,2670678.25,2505.09351,405068736.0,291.395325,7846.31348,0.673237264,4264.76807,9.72346897e-05,256.914093,1679506.88,22.4966793
BASE,501.0,2746378.5,2599.71606,416222592.0,296.298187,7570.02148,9.46225739,4054.81104,0.000153109562,262.87204,1720055.0,28.7059326
BASE,511.0,2835181.5,3151.66479,429309792.0,301.602783,8880.30371,55.1948814,4845.91992,0.000395760086,265.897369,1768514.25,47.8917427
BASE,521.0,2923781.5,4125.22705,442366336.0,302.383209,8860.0127,97.3562317,5180.88184,0.00108502212,265.500488,1820323.0,104.166519
BASE,531.0,3003885.75,5194.31201,454199456.0,294.992676,8010.40918,106.908493,4793.82227,0.00203013862,258.769745,1868261.25,201.68573
BASE,541.0,3078115.5,6388.65137,465159616.0,290.413605,7422.97314,119.433914,4417.60498,0.00306101539,254.790054,1912437.38,337.324493
BASE,551.0,3140480.75,19724.4004,474170976.0,290.065857,6236.52588,1333.57483,2849.49316,0.00285053905,258.105774,1940932.25,418.782593
BASE,561.0,3201414.25,28689.4297,483042752.0,289.864197,6091.63135,899.621582,3281.99097,0.00306563638,256.87027,1973754.25,517.833618
BASE,571.0,3259058.25,34015.625,491475072.0,296.564911,5764.40723,532.619385,3405.47021,0.00357021927,264.509766,2007808.88,639.852051
BASE,581.0,3316584.5,36206.7422,499878240.0,307.862518,5752.62305,219.111786,3529.06445,0.00467276946,275.997589,2043099.5,805.53125
BASE,591.0,3384292.0,39229.7266,509816736.0,305.549774,6770.75928,302.298492,3376.41919,0.0061226734,274.243134,2076863.75,1013.53192
BASE,601.0,3474751.25,44426.7734,523120256.0,305.704041,9045.92285,519.704773,4722.53955,0.010897317,267.44635,2124089.25,1533.83191
BASE,611.0,3535596.25,49771.0703,532043840.0,310.495667,6084.48535,534.429626,2595.69409,0.0138484966,280.897369,2150046.0,1898.34436
BASE,621.0,3584674.75,54549.543,539231616.0,314.925476,4907.86328,477.847321,2584.87988,0.0171075761,285.811707,2175895.0,2348.25146
BASE,631.0,3672627.25,64405.125,552173696.0,317.136017,8795.24512,985.558105,4227.16211,0.028481083,279.2948,2218166.5,3587.48779
BASE,641.0,3714536.75,69810.3672,558318080.0,318.518158,4190.94434,540.523865,2317.2041,0.032800518,289.620087,2241338.5,4373.31836
BASE,651.0,3791870.75,80282.6875,569702208.0,320.26709,7733.4043,1047.2323,4468.18066,0.0528463088,278.90741,2286020.25,6866.3335
BASE,661.0,3861277.25,91572.0781,579927552.0,318.014099,6940.65283,1128.93896,3816.18018,0.0771770179,277.658234,2324182.25,10057.8604
BASE,671.0,3927397.75,105078.656,589661248.0,320.63916,6612.04004,1350.65808,3547.66309,0.109222949,279.845581,2359658.75,14407.8398
BASE,681.0,4001737.5,123297.93,600619712.0,320.367065,7433.99609,1821.927,4025.19214,0.151273027,274.103333,2399910.75,21582.1484
BASE,691.0,4076639.0,144622.016,611664832.0,320.273254,7430.99609,2217.63257,4012.31787,0.192696378,271.185272,2440390.5,30642.9531
BASE,701.0,4148175.5,171764.844,622197312.0,321.299927,7153.6333,2714.28271,4085.95142,0.225254819,269.21991,2481250.0,42522.7305
BASE,711.0,4225908.0,210468.531,633620288.0,321.390839,7773.26904,3870.37012,4493.81152,0.256956667,262.857056,2526188.25,58063.0742
BASE,721.0,4294901.0,246780.484,643757952.0,318.64502,6899.30469,3631.19409,3903.70142,0.281189233,263.245331,2565225.25,73333.8359
BASE,731.0,4368710.5,284085.562,654622784.0,316.848053,7380.91748,3730.50708,4209.23877,0.314012408,256.545044,2607317.5,92601.7266
BASE,741.0,4437505.5,323574.094,664735296.0,316.144836,6879.53955,3948.85352,4031.60889,0.341002464,255.0681,2647633.75,113463.539
BASE,751.0,4505022.0,367385.75,674647104.0,317.427917,6751.62354,4381.1665,3879.59155,0.370958954,255.600861,2686429.5,136342.312
BASE,761.0,4567369.0,413286.719,683783104.0,319.912292,6234.68066,4590.09717,3603.32446,0.39875865,258.7659,2722462.75,160240.484
BASE,771.0,4628227.0,462919.375,692694528.0,322.201874,6085.81348,4963.26562,3513.73169,0.428127736,259.999451,2757600.25,186545.766
BASE,781.0,4678850.0,507453.094,700095680.0,323.242493,5062.31152,4453.37158,2892.78491,0.445790946,267.021454,2786528.0,209814.562
BASE,791.0,4726268.0,551762.438,707021568.0,325.065216,4741.78418,4430.93408,2750.35571,0.460423052,269.246002,2814031.5,233283.453
BASE,801.0,4762330.5,583117.5,712299264.0,318.453583,3606.25732,3135.50391,2142.61353,0.454086632,270.887756,2835457.75,251105.547
BASE,811.0,4817266.0,630971.75,720357824.0,315.633148,5493.53271,4785.42529,2979.64697,0.471515566,255.120697,2865254.25,277690.062
BASE,821.0,4872186.5,684850.812,728398080.0,316.816345,5492.06006,5387.90625,2948.47827,0.496793985,254.639984,2894739.0,306799.125
BASE,831.0,4919285.5,737533.375,735268352.0,320.343079,4709.89258,5268.25684,2702.91406,0.517678916,260.240112,2921768.0,335809.719
BASE,841.0,4971629.5,790076.312,742945280.0,311.535339,5234.43359,5254.29785,2638.55713,0.530365169,252.470001,2948153.75,365607.312
BASE,851.0,5017692.0,840108.812,749676288.0,314.285492,4606.25684,5003.24707,2124.17944,0.54573977,260.839294,2969395.5,391126.812
BASE,861.0,5067160.0,897120.625,756890560.0,318.67569,4946.79199,5701.18213,2053.29956,0.565649688,264.963348,2989928.5,417866.719
BASE,871.0,5114648.5,959086.25,763797312.0,324.150635,4748.82129,6196.56055,2193.30273,0.58855015,266.540466,3011861.5,449240.375
BASE,881.0,5160234.0,1022412.38,770417600.0,329.201141,4558.57715,6332.61133,2029.19543,0.608471036,272.980347,3032153.5,480775.875
BASE,891.0,5201921.5,1083958.88,776462144.0,333.536133,4168.73438,6154.65332,1852.276,0.623545885,279.381714,3050676.25,511456.344
BASE,901.0,5246908.0,1150516.75,782994944.0,334.085052,4498.66162,6655.78564,1927.90601,0.637315512,276.815216,3069955.25,545333.875
BASE,911.0,5290481.5,1216754.38,789324224.0,333.682648,4357.33447,6623.76123,1859.51086,0.648502946,275.940887,3088550.25,579641.312
BASE,921.0,5331551.0,1284793.25,795285504.0,333.713745,4106.94971,6803.88672,1993.09985,0.6605618,271.2229,3108481.25,618427.938
BASE,931.0,5371717.0,1349421.12,801114560.0,334.431458,4016.63086,6462.79297,1622.79272,0.668994367,278.654785,3124709.25,651226.188
BASE,941.0,5413012.0,1416570.62,807111552.0,334.12738,4129.47217,6714.95215,1621.13403,0.678976297,277.567993,3140920.5,685513.688
BASE,951.0,5452538.0,1483699.0,812848256.0,334.169739,3952.59033,6712.83838,1578.52173,0.688566566,277.358826,3156705.75,720414.188
BASE,961.0,5484317.0,1540445.38,817447872.0,335.242798,3177.93115,5674.63281,1296.95642,0.691110849,284.486877,3169675.5,749432.375
BASE,971.0,5484317.0,1540445.38,817447872.0,335.716949,0.0,0.0,-0.0,0.0,317.845184,3169675.5,749432.375
BASE,981.0,5514585.5,1586811.12,821818688.0,335.609192,3003.9812,4666.58984,1295.61743,0.658379972,286.80542,3183212.25,773569.562
BASE,982.0,5517759.5,1592378.75,822278336.0,335.728638,3174.2771,5567.59814,1887.3302,0.664536893,275.342926,3185099.5,777308.312
BASE,991.0,5544772.5,1644735.75,826183424.0,336.624878,2965.34595,5869.65771,1745.51526,0.69312644,273.792328,3201019.5,812488.562
BASE,994.0,5553787.0,1660151.62,827486016.0,335.850494,3004.86182,5138.64453,1221.48901,0.692991972,284.561157,3204684.0,820760.125
BASE,998.0,5566775.0,1679259.5,829379328.0,334.822357,3247.00488,4776.96045,1224.28931,0.69220835,284.116577,3209581.0,831773.625
BASE,1001.0,5576402.5,1693761.5,830780608.0,334.058167,3209.1687,4833.99707,1189.04993,0.702463686,276.790802,3213148.25,840195.438
BASE,1011.0,5616565.0,1755501.62,836634240.0,337.285248,3947.81006,6272.93115,1228.94287,0.731395662,275.89267,3225637.5,873375.0
BASE,1021.0,5656401.0,1823476.0,842439808.0,336.954346,3983.58081,6797.43359,1306.24854,0.741903961,271.696869,3238700.0,910923.5
BASE,1031.0,5695889.5,1894598.88,848196160.0,336.958069,3948.85254,7112.29004,1323.17859,0.749629736,269.862946,3251931.75,950540.562
BASE,1041.0,5734982.5,1965497.38,853900672.0,333.439514,3909.31372,7089.84668,1319.32031,0.748488903,265.170013,3265125.0,989803.125
BASE,1051.0,5767650.5,2029666.88,858657088.0,334.294647,3266.79785,6416.94873,1195.27344,0.748733401,270.791382,3277077.75,1025420.31
BASE,1061.0,5803017.5,2097116.25,863813824.0,332.245148,3536.68188,6744.9375,1243.76257,0.750361919,266.746674,3289515.25,1062805.25
BASE,1071.0,5838859.0,2171751.0,869032384.0,335.838623,3584.15381,7463.47559,1302.5835,0.76007539,266.973175,3302541.25,1104070.88
BASE,1081.0,5873555.0,2244700.0,874084736.0,335.374329,3469.62622,7294.90039,1213.24072,0.765001595,268.952637,3314673.5,1143566.0
BASE,1091.0,5908102.0,2319247.75,879115072.0,335.477783,3454.69116,7454.7832,1198.94702,0.771294773,268.50354,3326663.0,1183999.88
BASE,1101.0,5941540.5,2393424.25,883982336.0,335.494934,3343.86572,7417.64062,1150.69421,0.776984394,269.28299,3338170.0,1224089.88
BASE,1111.0,5974425.0,2470192.75,888766336.0,335.406616,3288.44727,7676.85986,1181.19226,0.783325791,266.404602,3349982.0,1266792.62
BASE,1121.0,6007138.0,2547391.25,893525248.0,335.114655,3271.29321,7719.85791,1136.11487,0.789624095,266.985809,3361343.0,1309435.5
BASE,1131.0,6031075.5,2606601.5,896999680.0,335.665375,2420.13818,5883.61914,859.281311,0.786333323,279.837402,3369906.0,1341101.12
BASE,1141.0,6058278.5,2666677.75,900958656.0,329.391815,2720.30103,6007.6167,944.00116,0.784919798,268.992767,3379346.25,1375551.75
BASE,1151.0,6086573.5,2732911.75,905068352.0,334.227295,2775.80859,6701.46973,949.420532,0.792819321,272.848419,3388928.25,1411758.62
BASE,1161.0,6116996.0,2806841.75,909484480.0,336.097137,3042.23975,7392.98438,971.811096,0.800981402,272.995148,3398646.25,1450870.75
BASE,1171.0,6147774.5,2882429.25,913953408.0,335.909698,3077.84058,7558.76367,958.24292,0.806774914,272.40271,3408228.75,1490880.38
BASE,1181.0,6176988.5,2957775.0,918192000.0,336.295105,2921.38525,7534.55908,946.889404,0.811671734,272.238068,3417697.5,1531690.12
BASE,1191.0,6207499.5,3036612.0,922620480.0,336.065247,3051.11182,7883.71729,955.853821,0.816168308,270.392883,3427256.0,1574127.75
BASE,1201.0,6237666.0,3116686.75,926997440.0,336.020996,3016.63281,8007.46924,944.3797,0.820210457,269.862976,3436700.0,1617210.88
BASE,1211.0,6267196.5,3198089.0,931280192.0,336.003265,2953.08838,8140.21436,948.71814,0.824389517,268.780975,3446187.0,1661747.75
BASE,1221.0,6296413.5,3279456.0,935516608.0,335.833405,2921.67871,8136.70703,918.452271,0.827802598,269.394287,3455371.5,1705900.38
BASE,1231.0,6325404.5,3360077.0,939719936.0,335.564148,2899.08618,8062.09521,875.762573,0.830413342,270.688019,3464129.25,1748783.75
BASE,1241.0,6354057.0,3441314.25,943873344.0,335.039795,2865.25488,8123.729,873.705444,0.833277345,269.625885,3472866.25,1792451.38
BASE,1251.0,6381108.0,3520813.25,947790976.0,335.487213,2705.1355,7949.89014,838.859253,0.835970402,271.236237,3481255.0,1835203.62
BASE,1261.0,6409306.5,3603082.0,951876288.0,335.081543,2819.8064,8226.89062,843.328613,0.839311242,269.980927,3489688.25,1879252.38
BASE,1271.0,6426518.5,3657400.5,954359168.0,335.012299,1768.48914,5363.4585,569.877747,0.830809414,285.835205,3495306.75,1907350.75
BASE,1281.0,6429466.0,3670022.5,954774912.0,336.023865,331.229156,1209.78003,154.57373,0.769938886,309.372437,3496732.5,1912695.38
BASE,1291.0,6439022.0,3692287.75,956149312.0,336.479095,955.603577,2226.5415,301.842621,0.768543363,303.927734,3499750.75,1922718.0
BASE,1301.0,6447843.0,3712446.5,957419904.0,337.38974,890.282898,2004.90686,300.313416,0.758927166,305.09259,3502730.75,1932205.25
BASE,1311.0,6458074.0,3733656.0,958891456.0,337.693054,1023.09833,2120.96045,318.217346,0.754089236,304.737885,3505913.0,1941963.5
BASE,1321.0,6487022.0,3797202.5,963079360.0,337.591309,2894.78125,6354.64844,810.927124,0.808102369,280.156952,3514022.25,1976112.5
BASE,1331.0,6517581.0,3875517.5,967498624.0,337.201904,3055.89404,7831.48486,895.285156,0.832195342,270.695923,3522975.25,2020512.5
BASE,1341.0,6546397.5,3953255.5,971664000.0,336.472168,2881.63989,7773.80273,800.508484,0.842111647,272.691193,3530980.25,2063208.38
BASE,1351.0,6575695.0,4033366.5,975899584.0,335.78186,2929.75977,8011.0918,757.218628,0.84847492,273.07959,3538552.5,2105609.25
BASE,1361.0,6604513.0,4114036.75,980064576.0,335.118591,2881.82739,8067.02832,712.310059,0.852473259,273.658478,3545675.5,2146769.75
BASE,1371.0,6632374.0,4193829.0,984089600.0,334.708008,2786.08521,7979.2207,671.813416,0.855958343,275.329773,3552393.75,2186691.75
BASE,1381.0,6655799.0,4267903.0,987467136.0,335.068329,2342.52637,7407.38672,640.433594,0.858103454,277.008575,3558798.0,2225421.25
BASE,1391.0,6663396.0,4297587.0,988549056.0,335.536011,820.80011,2880.03564,281.363525,0.834017754,300.640289,3561508.25,2239706.75
BASE,1401.0,6663396.0,4297587.0,988549056.0,336.446106,0.0,0.0,-0.0,0.0,316.525299,3561508.25,2239706.75
BASE,1411.0,6679062.5,4338660.5,990796928.0,336.366791,1556.29529,4121.02783,502.213013,0.81581521,291.105896,3566896.5,2261428.75
BASE,1421.0,6705850.0,4411141.5,994657216.0,335.861603,2678.73511,7248.07471,745.739197,0.844768047,274.143372,3574353.75,2302011.75
BASE,1431.0,6718768.0,4450802.5,996507520.0,336.261169,1315.80054,3931.45264,402.150452,0.838362932,293.950043,3578335.25,2322927.25
BASE,1441.0,6728403.5,4475954.0,997886272.0,336.545166,985.511475,2483.54004,246.496048,0.814513564,303.754852,3580743.75,2333832.0
BASE,1451.0,6751883.5,4535301.5,1001266690.0,336.375702,2347.97534,5934.75,595.328674,0.840914965,283.7948,3586697.0,2365300.75
BASE,1461.0,6768798.5,4582080.0,1003694850.0,336.565033,1692.59045,4676.28174,450.652435,0.843760014,291.008942,3591221.75,2389611.75
BASE,1471.0,6776917.0,4606570.5,1004853700.0,336.619934,844.357361,2402.21533,267.174377,0.824222744,302.325958,3593833.0,2402226.25
BASE,1481.0,6792851.5,4647046.0,1007141760.0,335.707947,1593.43164,4047.54419,435.762268,0.833502591,291.625244,3598190.5,2424040.75
BASE,1491.0,6813251.5,4703414.5,1010070530.0,337.078766,2039.98523,5636.85254,558.678345,0.84937495,284.746887,3603777.25,2455544.75
BASE,1501.0,6832558.5,4766979.5,1012851970.0,337.496582,1930.69482,6356.49951,757.680664,0.864326537,270.373596,3611354.0,2503813.75
BASE,1511.0,6853756.0,4836407.5,1015910400.0,337.492828,2092.91919,6981.23145,747.370911,0.872228503,268.487488,3618913.25,2554710.25
BASE,1521.0,6873932.5,4905359.0,1018819460.0,337.090729,2017.65942,6895.15283,704.941345,0.87533474,270.026062,3625962.75,2604207.5
BASE,1531.0,6894016.5,4975121.0,1021713660.0,336.609467,2008.42712,6976.17969,690.252258,0.8776564,269.959656,3632865.25,2653724.25
BASE,1541.0,6913413.0,5043940.5,1024506560.0,335.951141,1939.6167,6881.95117,666.827576,0.879105389,270.254395,3639533.5,2702213.75
BASE,1551.0,6929027.5,5109684.5,1026749250.0,336.143829,1561.4646,6574.38086,670.529724,0.880263805,269.529144,3646239.0,2751509.0
BASE,1561.0,6949560.0,5181433.0,1029702270.0,335.645966,2053.23218,7174.89014,656.507751,0.882075131,269.661438,3652804.0,2800615.5
BASE,1571.0,6969481.5,5253974.5,1032564860.0,335.287048,1992.15198,7254.14209,650.971008,0.884064138,269.100616,3659313.75,2850255.0
BASE,1581.0,6989023.5,5325359.5,1035371070.0,334.746277,1954.22839,7138.48584,620.122314,0.885572255,270.277313,3665515.0,2898247.25
BASE,1591.0,7008358.0,5397258.0,1038145600.0,333.516724,1933.42554,7189.83447,618.534302,0.886980832,268.619629,3671700.25,2946790.25
BASE,1601.0,7028030.0,5470365.5,1040966460.0,333.520874,1967.24023,7310.771,603.801392,0.888842225,269.172546,3677738.25,2995071.5
BASE,1611.0,7046814.0,5541005.5,1043657470.0,333.028473,1878.37158,7064.00537,570.71051,0.88991183,270.81131,3683445.25,3041205.5
BASE,1621.0,7065845.5,5613563.5,1046382020.0,332.269562,1903.13879,7255.79102,579.837708,0.891395152,268.908234,3689243.75,3088796.75
BASE,1631.0,7084240.5,5686204.0,1049012990.0,331.87851,1839.53564,7264.03809,576.533936,0.892879546,268.24527,3695009.0,3136852.5
BASE,1641.0,7101642.5,5755891.0,1051499520.0,331.43042,1740.17212,6968.7041,547.509338,0.893508017,269.715851,3700484.25,3182790.75
BASE,1651.0,7119971.5,5827666.0,1054116800.0,331.062164,1832.89929,7177.51367,547.946228,0.894412041,268.944214,3705963.75,3229206.0
BASE,1661.0,7137785.5,5900522.5,1056658300.0,331.142609,1781.42969,7285.62646,554.749329,0.895855546,268.225677,3711511.0,3276925.75
BASE,1671.0,7155669.0,5973779.0,1059208320.0,329.881226,1788.34338,7325.65332,555.125916,0.896615624,266.475159,3717062.5,3325069.75
BASE,1681.0,7173140.0,6047616.5,1061697020.0,330.817078,1747.10559,7383.76367,547.120422,0.897902727,267.713074,3722533.5,3373186.75
BASE,1691.0,7183416.5,6093641.5,1063157760.0,331.057892,1027.61743,4602.50781,353.847687,0.892332613,283.784393,3726072.0,3402513.25
BASE,1701.0,7183416.5,6093641.5,1063157760.0,332.03772,0.0,0.0,-0.0,0.0,311.373444,3726072.0,3402513.25
BASE,1711.0,7183416.5,6093641.5,1063157760.0,332.980103,0.0,0.0,-0.0,0.0,312.940063,3726072.0,3402513.25
BASE,1721.0,7183416.5,6093641.5,1063157760.0,334.288086,0.0,0.0,-0.0,0.0,314.56076,3726072.0,3402513.25
BASE,1731.0,7183416.5,6093641.5,1063157760.0,334.971466,0.0,0.0,-0.0,0.0,315.295837,3726072.0,3402513.25
BASE,1741.0,7199265.0,6133368.0,1065402940.0,335.197083,1510.16382,4077.11279,530.944824,0.834153295,286.665955,3732591.0,3427497.75
BASE,1751.0,7217046.0,6190603.5,1067930180.0,334.285614,1778.12061,5723.54248,585.259949,0.87078011,275.745789,3738443.75,3466937.0
BASE,1761.0,7229860.0,6237512.0,1069750660.0,332.148041,1281.39673,4690.8623,468.795715,0.877511561,278.398529,3743131.75,3500521.75
BASE,1771.0,7252119.5,6307225.0,1072915840.0,326.460358,2225.95923,6971.2832,609.820312,0.884754419,261.725952,3749229.75,3547338.25
BASE,1781.0,7272435.5,6378990.0,1075798910.0,331.728058,1970.17126,7264.18066,558.862061,0.892339766,269.855225,3754908.25,3593533.0
BASE,1791.0,7291416.5,6453262.0,1078488960.0,331.835724,1898.1106,7427.21436,543.567627,0.896444619,270.278961,3760344.0,3640587.75
BASE,1801.0,7309766.0,6527845.5,1081087620.0,331.789154,1834.91223,7458.3252,525.8526,0.899290264,270.491272,3765602.5,3687544.0
BASE,1811.0,7325752.0,6594222.5,1083349630.0,331.609772,1598.63721,6637.74414,457.587341,0.899892569,275.34964,3770178.25,3728677.75
BASE,1821.0,7342712.5,6665229.5,1085747970.0,332.362122,1696.06104,7100.65674,476.108185,0.901824176,274.137268,3774939.5,3772412.0
BASE,1831.0,7361036.0,6740438.0,1088337150.0,331.683624,1832.30823,7520.88184,483.461517,0.903710663,272.214355,3779774.0,3817786.75
BASE,1841.0,7378900.0,6817463.5,1090860420.0,330.222351,1786.40381,7702.52881,501.716797,0.905229509,268.45578,3784791.25,3865709.75
